# ----------------------------------------
# ページとスクリーン: ページパスとスクリーン クラス
# アカウント: みんなのセルフ洗車場マップ
# プロパティ: 377626c23b3acd23.main.jp - GA4
# ----------------------------------------
# 
# すべてのユーザー
# 開始日: 20220901
# 終了日: 20230731
ページパスとスクリーン クラス,表示回数,アクティブ ユーザー,アクティブ ユーザーあたりのビュー,アクティブ ユーザーあたりの平均エンゲージメント時間,イベント数,キーイベント,合計収益
/%E3%82%AB%E3%83%BC%E3%83%94%E3%82%AB%E3%83%A9%E3%83%B3%E3%83%89%E5%9C%9F%E5%AE%A4_%E9%AB%98%E6%A7%BB%E5%B8%82%E5%9C%9F%E5%AE%A4%E7%94%BA40,1650,1261,1.3084853291038858,45.78509119746233,5608,0,0
/%E3%82%AB%E3%83%BC%E3%83%94%E3%82%AB%E3%83%A9%E3%83%B3%E3%83%89%E5%8D%97%E5%90%B9%E7%94%B0_%E5%90%B9%E7%94%B0%E5%B8%82%E5%8D%97%E5%90%B9%E7%94%B01-20-1,1375,1071,1.2838468720821663,43.826330532212886,4645,0,0
/%E3%82%AB%E3%83%BC%E3%82%A6%E3%82%A9%E3%83%83%E3%82%B7%E3%83%A521%E5%87%BA%E5%B3%B6_%E5%A0%BA%E5%B8%82%E5%87%BA%E5%B3%B6%E6%B5%B7%E5%B2%B8%E9%80%9A3%E4%B8%81,740,562,1.3167259786476868,53.73487544483986,2422,0,0
/%E3%82%A6%E3%82%AA%E3%83%83%E3%82%B7%E3%83%A5%E3%82%B6%E3%82%A6%E3%83%AB%E3%82%B9%E6%96%B0%E5%A4%A7%E9%98%AA_%E5%A4%A7%E9%98%AA%E5%B8%82%E6%9D%B1%E6%B7%80%E5%B7%9D%E5%8C%BA%E5%AE%AE%E5%8E%9F2%E4%B8%81,711,573,1.2408376963350785,23.469458987783597,2428,0,0
/%E3%82%AB%E3%83%BC%E3%83%94%E3%82%AB%E3%83%A9%E3%83%B3%E3%83%89%E3%81%8D%E3%81%A5%E3%81%8B%E3%82%8F_%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E6%B5%AA%E9%80%9F%E5%8C%BA%E6%9C%A8%E6%B4%A5,707,569,1.242530755711775,39.50439367311072,2432,0,0
/,671,413,1.6246973365617434,24.268765133171915,2083,0,0
/%E3%82%B7%E3%83%A3%E3%83%AF%E3%83%BC%E3%83%A9%E3%83%B3%E3%83%89%E5%96%9C%E8%93%AE_%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E5%B9%B3%E9%87%8E%E5%8C%BA%E7%93%9C%E7%A0%B4%E8%A5%BF%EF%BC%91,574,442,1.2986425339366516,30.839366515837103,1935,0,0
/%E3%82%AB%E3%83%BC%E3%83%94%E3%82%AB%E3%83%A9%E3%83%B3%E3%83%89%E8%B1%8A%E7%94%B0_%E5%A0%BA%E5%B8%82%E5%8D%97%E5%8C%BA%E6%A1%83%E5%B1%B1%E5%8F%B01-23,489,371,1.3180592991913747,50.301886792452834,1671,0,0
/%E3%80%902022%E5%B9%B4%E6%9C%80%E6%96%B0%E3%80%91%E6%B4%97%E8%BB%8A%E3%82%AF%E3%83%A9%E3%83%96-%E5%B2%B8%E9%87%8C%E5%BA%97%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6%E3%82%BB%E3%83%AB%E3%83%95%E3%83%BB,465,324,1.4351851851851851,36.148148148148145,1465,0,0
/%E3%82%AB%E3%83%BC%E3%83%94%E3%82%AB%E3%83%A9%E3%83%B3%E3%83%89%E6%9D%B1%E5%85%AB%E7%94%B0_%E5%A0%BA%E5%B8%82%E6%9D%B1%E5%85%AB%E7%94%B0255,432,342,1.263157894736842,42.83040935672515,1458,0,0
